seed,net_worth,trades,final_cash,final_position
44230,10245.590812232127,2,10245.590812232127,0.0
44231,10907.273087684183,6,10907.273087684183,0.0
44232,10437.68422274152,4,10437.68422274152,0.0
44233,10202.812131652543,2,10202.812131652543,0.0
44234,10308.183560020165,2,10308.183560020165,0.0
44235,10283.542527538646,2,10283.542527538646,0.0
44236,8232.385357521911,1,58.55989162457627,99.0
44237,11250.63238253898,10,11250.63238253898,0.0
44238,10316.846300429881,5,56.95233831544465,112.0
44239,11187.444643551726,8,11187.444643551726,0.0
44240,10666.373958464252,6,10666.373958464252,0.0
44241,6090.206277632878,1,3.287296297670764,99.0
44242,10462.28018114859,4,10462.28018114859,0.0
44243,7684.224162346608,3,34.90944329740341,105.0
44244,10261.785503438183,2,10261.785503438183,0.0
44245,8200.459447325435,1,26.639238588995795,100.0
44246,7915.97108858811,1,4.970925003342927,99.0
44247,5851.250609897505,1,58.92098071280452,102.0
44248,10235.5239117918,2,10235.5239117918,0.0
44249,10422.650253970553,4,10422.650253970553,0.0
44250,8284.240741770684,1,6.868319455557867,101.0
44251,8898.599662829276,3,24.273500500041337,108.0
44252,8945.350202548161,1,51.71815177873577,100.0
44253,8606.770178762437,1,39.14186432162023,97.0
44254,10222.731032317377,2,10222.731032317377,0.0
44255,8553.435864008517,3,18.960343180611744,107.0
44256,10300.391649112355,2,10300.391649112355,0.0
44257,8759.694555773665,3,56.990775826123354,105.0
44258,10206.760737865749,2,10206.760737865749,0.0
44259,8427.984975506299,1,46.34232308906394,100.0
44260,10859.502894812753,6,10859.502894812753,0.0
44261,11049.836465791872,8,11049.836465791872,0.0
44262,10691.752398836748,6,10691.752398836748,0.0
44263,10437.079547226815,4,10437.079547226815,0.0
44264,10496.747399159856,4,10496.747399159856,0.0
44265,8297.078879869636,1,22.122266484704596,99.0
44266,8151.880633517323,3,33.210832387088885,104.0
44267,11010.76877612973,8,11010.76877612973,0.0
44268,10231.246382417634,2,10231.246382417634,0.0
44269,8196.198230372656,1,53.6569025548888,100.0
44270,10812.774951471843,6,10812.774951471843,0.0
44271,11329.075740733933,8,11329.075740733933,0.0
44272,10502.869738526895,4,10502.869738526895,0.0
44273,10338.659518831793,2,10338.659518831793,0.0
44274,10236.04660355864,2,10236.04660355864,0.0
44275,8850.495503904918,1,64.6124896889105,99.0
44276,9803.396377293637,3,32.46507432012186,105.0
44277,10231.796794686288,2,10231.796794686288,0.0
44278,8544.248323884465,1,50.060833934145194,100.0
44279,9864.49458364247,1,70.2100615567415,98.0
44280,10265.950821936907,2,10265.950821936907,0.0
44281,7040.363286523955,3,42.18755458994201,105.0
44282,9581.264662449952,1,86.35744258171871,100.0
44283,11041.159184242882,8,11041.159184242882,0.0
44284,10268.860555256319,2,10268.860555256319,0.0
44285,10211.021289736786,2,10211.021289736786,0.0
44286,10242.27349129473,2,10242.27349129473,0.0
